,Unnamed: 0,Tweets,Dates,Longitude,Latitude,Sentiment
0,0,"It was great to host our colleagues from @EC_StockholmRep today at our premises.

Talked about our mission and poss… https://t.co/sPfc9ekcMQ",2020-01-16,-0.4223725875525022,25.78387915987407,neutral
1,1,#phep #globalhealth #Ebola #smem https://t.co/M3yjsPeR46,2020-01-16,0.22105556028472884,18.030295582197176,positive
2,2,#Ebola in #DRC . Cases traced to Mabalako still fueling DRC Ebola outbreak https://t.co/R1TTcNymSf,2020-01-16,1.1483429714855262,26.63794036548822,neutral
3,3,"My first opinion piece for 2020 is for Project Syndicate @ProSyn : 👉👉 Why an #Ebola Vaccine Is Not Enough.
https://t.co/4SHKubijCc",2020-01-16,-0.7492072577246114,25.993962255218797,neutral
4,4,"Ease of movement in #DRC allows people to put food on the table, keep children in school, sell goods &amp; seek refuge… https://t.co/OiM6QYl4Ej",2020-01-16,3.7965928468827492,22.574722775822718,neutral
5,5,Advanced #Diagnostics for Infectious Disease's final program is now online! Our opening session features… https://t.co/RzUX36vOm4,2020-01-16,3.1898996597374385,22.328271363427948,neutral
6,6,Great to see strong interest in excellent learning shared through #GettingtoZero @gatesfoundation #Ebola https://t.co/MPJCLmt9M0,2020-01-16,1.047651857659265,22.826110578173992,positive
7,7,Human transmission of #WuhanPneumonia may be occuring as #Japan @NHKWorld_News confirms first case of #coronavirus… https://t.co/e544cklLu9,2020-01-16,0.7984937451367558,21.440936649295104,neutral
8,8,Cases traced to Mabalako still fueling DRC #Ebola outbreak https://t.co/RQq7RWpKEG,2020-01-16,-1.4324437355917967,20.384522706484482,neutral
9,9,"La enfermedad X podría matar a millones - advertencia de Bill Gates
La guerra NUCLEAR no es la mayor https://t.co/66T3BG0NTH #ebola",2020-01-16,2.026346969801991,17.116521068708078,neutral
10,10,"This is about trust, no social media strategy is going to fix broken trust. Its much deeper. How #war and… https://t.co/URenIo3Y8x",2020-01-16,1.1170982665197555,19.889446178034248,positive
11,11,"30 nuevos medicamentos aprobados en 2019 por la @EMA_News:

🔸 1/3 corresponden a las áreas de #hematología y… https://t.co/2MS92eERGI",2020-01-16,-2.5740472047047716,24.160343375005425,positive
12,12,"As global focus shifts to #WuhanSARS, good time to remember @WHO @MSF
@WHOGOARN partners and multiple responders st… https://t.co/4EYrvuHvTG",2020-01-16,3.2105424925854944,18.46219296016757,neutral
13,13,"”During a Public Health Emergency like the #Ebola virus the media has to be very careful on how they report it, dur… https://t.co/aCZIGlDwqX",2020-01-16,-3.02963312698584,19.133621991928976,neutral
